"","User.ID","ISBN","Book.Rating","Book.Title","Book.Author","Age"
"1",276925,"0316666343",NA,"the lovely bones: a novel","alice sebold",22
"2",276925,"0385504209",8,"the da vinci code","dan brown",22
"3",276925,"0804106304",NA,"the joy luck club","amy tan",22
"4",276925,"0971880107",NA,"wild animus","rich shapero",22
"5",276939,"059035342X",NA,"harry potter and the sorcerer's stone (harry potter (paperback))","j. k. rowling",23
"6",276939,"0971880107",NA,"wild animus","rich shapero",23
"7",277042,"0312983271",NA,"full house (janet evanovich's full series)","janet evanovich",NA
"8",277042,"0380731851",NA,"mystic river","dennis lehane",NA
"9",277042,"0446605484",7,"roses are red (alex cross novels)","james patterson",NA
"10",277042,"0446611212",8,"violets are blue","james patterson",NA
"11",277042,"0671003755",NA,"she's come undone (oprah's book club (paperback))","wally lamb",NA
"12",277042,"0971880107",2,"wild animus","rich shapero",NA
"13",277157,"0380731851",NA,"mystic river","dennis lehane",70
"14",277157,"0971880107",NA,"wild animus","rich shapero",70
"15",277168,"0425175405",NA,"black notice","patricia daniels cornwell",37
"16",277168,"0440225701",NA,"the street lawyer","john grisham",37
"17",277195,"0060502258",NA,"the divine secrets of the ya-ya sisterhood: a novel","rebecca wells",54
"18",277195,"0060987561",NA,"i know this much is true","wally lamb",54
"19",277195,"0316666343",NA,"the lovely bones: a novel","alice sebold",54
"20",277195,"0440236673",NA,"the brethren","john grisham",54
"21",277195,"0446605484",NA,"roses are red (alex cross novels)","james patterson",54
"22",277195,"0553268880",NA,"the prince of tides","pat conroy",54
"23",277195,"0553572997",NA,"the alienist","caleb carr",54
"24",277195,"0671021001",10,"she's come undone (oprah's book club)","wally lamb",54
"25",277195,"0671510053",NA,"shipping news","annie proulx",54
"26",277195,"0679746048",NA,"girl, interrupted","susanna kaysen",54
"27",277195,"1558743669",NA,"a child called \""it\"": one child's courage to survive","dave pelzer",54
"28",277378,"0312195516",7,"the red tent (bestselling backlist)","anita diamant",33
"29",277378,"0380731851",NA,"mystic river","dennis lehane",33
"30",277378,"0446608955",4,"a walk to remember","nicholas sparks",33
"31",277378,"0684872153",NA,"angela's ashes (mmp) : a memoir","frank mccourt",33
"32",277378,"0804114986",5,"the bonesetter's daughter","amy tan",33
"33",277378,"0971880107",NA,"wild animus","rich shapero",33
"34",277427,"0060930535",NA,"the poisonwood bible: a novel","barbara kingsolver",48
"35",277427,"0060934417",NA,"bel canto: a novel","ann patchett",48
"36",277427,"0061009059",9,"one for the money (stephanie plum novels (paperback))","janet evanovich",48
"37",277427,"0142001740",NA,"the secret life of bees","sue monk kidd",48
"38",277427,"0316096199",NA,"lucky : a memoir","alice sebold",48
"39",277427,"0316284955",NA,"white oleander : a novel (oprah's book club)","janet fitch",48
"40",277427,"0316569321",NA,"white oleander : a novel","janet fitch",48
"41",277427,"0316666343",NA,"the lovely bones: a novel","alice sebold",48
"42",277427,"0316776963",8,"me talk pretty one day","david sedaris",48
"43",277427,"0345339681",NA,"the hobbit : the enchanting prelude to the lord of the rings","j.r.r. tolkien",48
"44",277427,"0345361792",NA,"a prayer for owen meany","john irving",48
"45",277427,"0385484518",NA,"tuesdays with morrie: an old man, a young man, and life's greatest lesson","mitch albom",48
"46",277427,"0385486804",9,"into the wild","jon krakauer",48
"47",277427,"0385504209",8,"the da vinci code","dan brown",48
"48",277427,"0399501487",9,"lord of the flies","william gerald golding",48
"49",277427,"0425154092",NA,"from potter's field","patricia daniels cornwell",48
"50",277427,"0425175405",NA,"black notice","patricia daniels cornwell",48
"51",277427,"0439064872",NA,"harry potter and the chamber of secrets (book 2)","j. k. rowling",48
"52",277427,"0440224764",7,"the partner","john grisham",48
"53",277427,"0440225701",NA,"the street lawyer","john grisham",48
"54",277427,"0440241073",NA,"the summons","john grisham",48
"55",277427,"0446611212",NA,"violets are blue","james patterson",48
"56",277427,"0553268880",NA,"the prince of tides","pat conroy",48
"57",277427,"0553280341",NA,"b is for burglar (kinsey millhone mysteries (paperback))","sue grafton",48
"58",277427,"0553572997",NA,"the alienist","caleb carr",48
"59",277427,"0671001795",NA,"two for the dough","janet evanovich",48
"60",277427,"0684872153",NA,"angela's ashes (mmp) : a memoir","frank mccourt",48
"61",277427,"080410753X",NA,"the kitchen god's wife","amy tan",48
"62",277427,"0971880107",NA,"wild animus","rich shapero",48
"63",277427,"1400034779",NA,"the no. 1 ladies' detective agency (today show book club #8)","alexander mccall smith",48
"64",277439,"0316666343",7,"the lovely bones: a novel","alice sebold",65
"65",277439,"0385504209",NA,"the da vinci code","dan brown",65
"66",277439,"0671027360",7,"angels &amp; demons","dan brown",65
"67",277466,"0425175405",NA,"black notice","patricia daniels cornwell",50
"68",277466,"044022165X",NA,"the rainmaker","john grisham",50
"69",277466,"0446612790",NA,"2nd chance","james patterson",50
"70",277466,"0671003755",NA,"she's come undone (oprah's book club (paperback))","wally lamb",50
"71",277478,"0345351525",NA,"the queen of the damned (vampire chronicles (paperback))","anne rice",31
"72",277478,"0345443284",NA,"while i was gone","sue miller",31
"73",277478,"0440225701",NA,"the street lawyer","john grisham",31
"74",277478,"0440234743",NA,"the testament","john grisham",31
"75",277478,"0446607657",NA,"when the wind blows","james patterson",31
"76",277478,"0671003755",NA,"she's come undone (oprah's book club (paperback))","wally lamb",31
